,frameType,packetNumber,OBCUpTime,obcT1,TXcurrent,RXcurrent,TempBatt,IMTQ_temp,tempP1,UTCTime
112,1.0,14381.0,15248.0,23.788849999999996,376.0,63.0,22.0,24.0,21.7421875,1510291490.0
113,1.0,7395.0,7846.0,25.348489999999998,0.0,62.0,23.0,25.5,23.4921875,1577726615.0
114,1.0,489.0,519.0,23.009029999999996,0.0,62.0,20.0,23.0,21.2421875,1577697291.0
115,1.0,14383.0,15250.0,23.788849999999996,0.0,63.0,22.0,24.0,21.7421875,1510291503.0
116,1.0,1239.0,1316.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509890494.0
117,1.0,14385.0,15252.0,24.178759999999997,377.0,62.0,22.0,24.0,21.4921875,1510291506.0
118,1.0,630.0,668.0,23.398939999999996,0.0,62.0,20.0,23.0,21.2421875,1577697874.0
119,1.0,14390.0,15257.0,24.178759999999997,378.0,63.0,22.0,24.0,21.4921875,1510291526.0
120,1.0,6704.0,7113.0,25.348489999999998,0.0,62.0,23.0,25.5,23.4921875,1577723752.0
121,1.0,15912.0,16871.0,24.568669999999997,378.0,63.0,22.0,24.5,21.7421875,1510297831.0
122,1.0,15930.0,16890.0,24.568669999999997,0.0,63.0,22.0,24.5,21.7421875,1510297912.0
123,1.0,754.0,801.0,22.619119999999995,0.0,62.0,20.0,22.5,20.9921875,1509888484.0
124,1.0,13762.0,14591.0,23.788849999999996,376.0,63.0,22.0,24.0,21.4921875,1510288925.0
125,1.0,4755.0,5039.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554113997.0
126,1.0,1285.0,1365.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509890685.0
127,1.0,6795.0,7210.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1577724129.0
128,1.0,15529.0,16455.0,24.568669999999997,378.0,63.0,22.0,24.5,21.9921875,1509949635.0
129,1.0,15991.0,16955.0,24.568669999999997,377.0,63.0,22.0,24.5,21.9921875,1510298160.0
130,1.0,2904.0,3076.0,23.788849999999996,0.0,63.0,22.0,24.0,21.7421875,1488698415.0
131,1.0,815.0,866.0,22.619119999999995,0.0,62.0,20.0,22.5,20.9921875,1509888736.0
132,1.0,16021.0,16987.0,24.178759999999997,377.0,63.0,22.0,24.5,21.9921875,1510298283.0
133,1.0,7435.0,7879.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554125093.0
134,1.0,1300.0,1381.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509890747.0
135,1.0,6891.0,7311.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1577724526.0
136,1.0,4480.0,4754.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509903925.0
137,1.0,16051.0,17018.0,24.568669999999997,377.0,63.0,22.0,24.5,21.9921875,1510298408.0
138,1.0,1315.0,1397.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509890809.0
139,1.0,16114.0,17085.0,24.568669999999997,378.0,63.0,22.0,24.5,21.9921875,1510298668.0
140,1.0,15434.0,16367.0,24.178759999999997,376.0,63.0,22.0,24.5,21.9921875,1509949293.0
141,1.0,6993.0,7420.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1577724952.0
142,1.0,16144.0,17117.0,24.568669999999997,376.0,63.0,22.0,24.5,21.9921875,1510298792.0
143,1.0,13764.0,14593.0,23.788849999999996,0.0,63.0,22.0,24.0,21.4921875,1510288938.0
144,1.0,1330.0,1413.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509890871.0
145,1.0,16183.0,17158.0,24.178759999999997,379.0,63.0,22.0,24.5,21.9921875,1510298953.0
146,1.0,10105.0,10717.0,26.128309999999985,0.0,62.0,24.0,26.0,23.7421875,1577737832.0
147,1.0,7089.0,7522.0,25.738399999999984,0.0,62.0,23.0,25.5,23.4921875,1577725350.0
148,1.0,1345.0,1428.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509890933.0
149,1.0,16238.0,17216.0,24.178759999999997,377.0,63.0,22.0,24.5,21.9921875,1510299181.0
150,1.0,13263.0,14059.0,25.738399999999984,0.0,62.0,23.0,25.0,23.4921875,1554149236.0
151,1.0,16273.0,17253.0,24.178759999999997,0.0,63.0,22.0,24.5,21.7421875,1510299331.0
152,1.0,7191.0,7630.0,25.348489999999998,0.0,63.0,23.0,25.5,23.4921875,1577725771.0
153,1.0,1087.0,1155.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509889866.0
154,1.0,13765.0,14594.0,23.788849999999996,375.0,62.0,22.0,24.0,21.4921875,1510288941.0
155,1.0,16033.0,16993.0,25.738399999999984,0.0,62.0,23.0,25.0,23.4921875,1554160700.0
156,1.0,1360.0,1444.0,23.009029999999996,0.0,61.0,20.0,22.5,20.9921875,1509890995.0
157,1.0,16394.0,17382.0,24.568669999999997,378.0,63.0,22.0,24.5,21.9921875,1510299826.0
158,1.0,2461.0,2607.0,23.788849999999996,375.0,62.0,21.0,23.5,21.7421875,1488696278.0
159,1.0,16411.0,17400.0,24.178759999999997,378.0,63.0,22.0,24.5,21.7421875,1510299897.0
160,1.0,1375.0,1460.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509891057.0
161,1.0,7293.0,7738.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1577726194.0
162,1.0,2463.0,2609.0,23.788849999999996,375.0,62.0,21.0,23.5,21.7421875,1488696281.0
163,1.0,16445.0,17437.0,24.178759999999997,377.0,63.0,22.0,24.5,21.7421875,1510300042.0
164,1.0,16513.0,17509.0,24.568669999999997,0.0,63.0,22.0,24.5,21.7421875,1510300328.0
165,1.0,16543.0,17540.0,24.568669999999997,0.0,63.0,22.0,24.5,21.7421875,1510300453.0
166,1.0,1270.0,1349.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509890623.0
167,1.0,13767.0,14596.0,23.788849999999996,378.0,63.0,22.0,24.0,21.4921875,1510288944.0
168,1.0,17551.0,18601.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1554167216.0
169,1.0,16579.0,17579.0,24.568669999999997,377.0,63.0,22.0,24.5,21.7421875,1510300597.0
170,1.0,3283.0,3484.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509898964.0
171,1.0,7565.0,8026.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1577727319.0
172,1.0,3061.0,3247.0,24.568669999999997,0.0,62.0,22.0,24.0,22.9921875,1568930939.0
173,1.0,16596.0,17597.0,24.568669999999997,377.0,63.0,22.0,24.5,21.7421875,1510300667.0
174,1.0,2905.0,3077.0,24.178759999999997,373.0,62.0,22.0,24.0,21.7421875,1488698418.0
175,1.0,3315.0,3518.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509899097.0
176,1.0,16640.0,17643.0,24.568669999999997,0.0,63.0,22.0,24.5,21.7421875,1510300854.0
177,1.0,13033.0,13822.0,26.128309999999985,0.0,62.0,24.0,25.5,23.4921875,1577749964.0
178,1.0,7656.0,8123.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1577727695.0
179,1.0,3330.0,3534.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509899158.0
180,1.0,16716.0,17724.0,24.568669999999997,377.0,63.0,22.0,24.5,21.9921875,1510301163.0
181,1.0,2527.0,2677.0,23.788849999999996,0.0,62.0,21.0,23.5,21.4921875,1488696598.0
182,1.0,3345.0,3550.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509899221.0
183,1.0,16803.0,17817.0,24.568669999999997,0.0,63.0,22.0,24.5,21.9921875,1510301533.0
184,1.0,13528.0,14346.0,23.009029999999996,367.0,62.0,20.0,22.5,20.9921875,1509941400.0
185,1.0,7781.0,8255.0,25.738399999999984,0.0,62.0,23.0,25.5,23.7421875,1577728213.0
186,1.0,16833.0,17849.0,24.568669999999997,0.0,63.0,22.0,24.5,21.9921875,1510301657.0
